name,id,tags,tech/manufacturer,rarity,base price,stack size,cargo space,icon,sound id,sound id drop,plugin,plugin params,desc,order,
Ashen Ring Spirit Key,Crad_Cross2,Cargo_target,Crimson Treasure,5,500,1000,0,graphics/icons/cargo/CradCross.png,ui_chip_pickup,ui_bp_package_drop,data.campaign.Card.Crad_Cross2,,"Upon picking up this Key, overwhelming willpower floods your mind... You must experience the memory fragments stored within this data card firsthand.",0,
Viridian Ring Spirit Key,Crad_SSoul2,Cargo_target,Crimson Treasure,5,500,1000,0,graphics/icons/cargo/CradSSoul.png,ui_chip_pickup,ui_bp_package_drop,data.campaign.Card.Crad_SSoul2,,"Upon picking up this Key, overwhelming willpower floods your mind... You must experience the memory fragments stored within this data card firsthand.",0,
Crimson Ring Spirit Key,Crad_Dust2,Cargo_target,Crimson Treasure,5,500,1000,0,graphics/icons/cargo/CradDust.png,ui_chip_pickup,ui_bp_package_drop,data.campaign.Card.Crad_Dust2,,"Upon picking up this Key, overwhelming willpower floods your mind... You must experience the memory fragments stored within this data card firsthand.",0,
Amber Ring Spirit Key,Crad_Elf2,Cargo_target,Crimson Treasure,5,500,1000,0,graphics/icons/cargo/CradElf.png,ui_chip_pickup,ui_bp_package_drop,data.campaign.Card.Crad_Elf2,,"Upon picking up this Key, overwhelming willpower floods your mind... You must experience the memory fragments stored within this data card firsthand.",0,
Cerulean Ring Spirit Key,Crad_YueBen2,Cargo_target,Crimson Treasure,5,500,1000,0,graphics/icons/cargo/CradYueBen.png,ui_chip_pickup,ui_bp_package_drop,data.campaign.Card.Crad_YueBen2,,"This Ring Spirit Key connects you to a genuine Witch who will provide limited assistance. When deployed strategically, these living legends can unleash terrifying battlefield potential.",0,
Verdant Ring Spirit Key,Crad_SuDan2,Cargo_target,Crimson Treasure,5,500,1000,0,graphics/icons/cargo/CradSuDan.png,ui_chip_pickup,ui_bp_package_drop,data.campaign.Card.Crad_SuDan2,,This Key connects to an unconventional entity. Proper application might unleash devastatingly comedic battlefield effects.,0,

Abyssal Blue Ring Spirit Key,Crad_RRA,Cargo_target,Crimson Treasure,5,500,1000,0,graphics/icons/cargo/CradRRA.png,ui_chip_pickup,ui_bp_package_drop,data.campaign.Card.Crad_RRA,,A terminal card using Stellar Dust Teleportation for light-year scale data transmission. Through Ring Spirit Network links it transfers control of most electronics directly to Elis Sanctuary - like a capital ship.,0,
Radiant Ring Spirit Key,Crad_IE,Cargo_target,Crimson Treasure,5,500,1000,0,graphics/icons/cargo/CradIE.png,ui_chip_pickup,ui_bp_package_drop,data.campaign.Card.Crad_IE,,A terminal card using Stellar Dust Teleportation for light-year scale data transmission. Through Ring Spirit Network links it transfers control of most electronics directly to Elis Sanctuary - like a capital ship.,0,
Ashen Ring Spirit Key,Crad_Cross,Cargo_target,Crimson Treasure,5,500,1000,0,graphics/icons/cargo/CradCross.png,ui_chip_pickup,ui_bp_package_drop,data.campaign.Card.Crad_Cross,,A terminal card using Stellar Dust Teleportation for light-year scale data transmission. Through Ring Spirit Network links it transfers control of most electronics directly to Elis Sanctuary - like a capital ship.,0,
Viridian Ring Spirit Key,Crad_SSoul,Cargo_target,Crimson Treasure,5,500,1000,0,graphics/icons/cargo/CradSSoul.png,ui_chip_pickup,ui_bp_package_drop,data.campaign.Card.Crad_SSoul,,A terminal card using Stellar Dust Teleportation for light-year scale data transmission. Through Ring Spirit Network links it transfers control of most electronics directly to Elis Sanctuary - like a capital ship.,0,
Crimson Ring Spirit Key,Crad_Dust,Cargo_target,Crimson Treasure,5,500,1000,0,graphics/icons/cargo/CradDust.png,ui_chip_pickup,ui_bp_package_drop,data.campaign.Card.Crad_Dust,,A terminal card using Stellar Dust Teleportation for light-year scale data transmission. Through Ring Spirit Network links it transfers control of most electronics directly to Elis Sanctuary - like a capital ship.,0,
Amber Ring Spirit Key,Crad_Elf,Cargo_target,Crimson Treasure,5,500,1000,0,graphics/icons/cargo/CradElf.png,ui_chip_pickup,ui_bp_package_drop,data.campaign.Card.Crad_Elf,,A terminal card using Stellar Dust Teleportation for light-year scale data transmission. Through Ring Spirit Network links it transfers control of most electronics directly to Elis Sanctuary - like a capital ship.,0,
Cerulean Ring Spirit Key,Crad_YueBen,Cargo_target,Crimson Treasure,5,500,1000,0,graphics/icons/cargo/CradYueBen.png,ui_chip_pickup,ui_bp_package_drop,data.campaign.Card.Crad_YueBen,,A terminal card using Stellar Dust Teleportation for light-year scale data transmission. Through Ring Spirit Network links it transfers control of most electronics directly to Elis Sanctuary - like a capital ship.,0,
Verdant Ring Spirit Key,Crad_SuDan,Cargo_target,Crimson Treasure,5,500,1000,0,graphics/icons/cargo/CradSuDan.png,ui_chip_pickup,ui_bp_package_drop,data.campaign.Card.Crad_SuDan,,A terminal card using Stellar Dust Teleportation for light-year scale data transmission. Through Ring Spirit Network links it transfers control of most electronics directly to Elis Sanctuary - like a capital ship.,0,

Crimson City Contract,Crad_DM,Cargo_target,Crimson Treasure,5,50000,1000,0,graphics/icons/cargo/CradDM.png,ui_chip_pickup,ui_bp_package_drop,data.campaign.Card.Crad_Demon,,A terminal card containing personnel data of Crimson City spacers. Allows temporary recruitment of envoys via Stellar Dust Teleportation.,1,
Crimson City Contract,Crad_DML,Cargo_target,Crimson Treasure,5,500,1000,0,graphics/icons/cargo/CradDM.png,ui_chip_pickup,ui_bp_package_drop,data.campaign.Card.Crad_DemonL,,A terminal card containing personnel data of Crimson City spacers. Allows temporary recruitment of envoys via Stellar Dust Teleportation.,1,
Crimson City Contract,Crad_AL,Cargo_target,Crimson Treasure,5,50000,1000,0,graphics/icons/cargo/CradAL.png,ui_chip_pickup,ui_bp_package_drop,data.campaign.Card.Crad_Angel,,A terminal card containing personnel data of Crimson City spacers. Allows temporary recruitment of envoys via Stellar Dust Teleportation.,1,
Crimson City Contract,Crad_ALL,Cargo_target,Crimson Treasure,5,500,1000,0,graphics/icons/cargo/CradAL.png,ui_chip_pickup,ui_bp_package_drop,data.campaign.Card.Crad_AngelL,,A terminal card containing personnel data of Crimson City spacers. Allows temporary recruitment of envoys via Stellar Dust Teleportation.,1,

Bulk Stellar Shift Agreement,Agreement_Crew,Cargo_target,Crimson Treasure,5,500,1000,0,graphics/icons/cargo/CradSup.png,ui_chip_pickup,ui_bp_package_drop,data.campaign.Agreement_Crew,,Mass-produced single-use cards sold in Crimson Vaults. Enables emergency teleportation of vital space exploration supplies via Stellar Dust Teleportation... Though how they achieve this remains unclear.,1.1,

Bulk Stellar Shift Agreement,Agreement_Supplies,Cargo_target,Crimson Treasure,5,400,1000,0,graphics/icons/cargo/CradSup2.png,ui_chip_pickup,ui_bp_package_drop,data.campaign.Agreement_Supplies,,Mass-produced single-use cards sold in Crimson Vaults. Enables emergency teleportation of vital space exploration supplies via Stellar Dust Teleportation... Though how they achieve this remains unclear.,1.2,
Bulk Stellar Shift Agreement,Agreement_Fuel,Cargo_target,Crimson Treasure,5,400,1000,0,graphics/icons/cargo/CradSup3.png,ui_chip_pickup,ui_bp_package_drop,data.campaign.Agreement_Fuel,,Mass-produced single-use cards sold in Crimson Vaults. Enables emergency teleportation of vital space exploration supplies via Stellar Dust Teleportation... Though how they achieve this remains unclear.,1.3,
Bulk Stellar Shift Agreement,Agreement_Story,Cargo_target,Crimson Treasure,5,4000,1000,0,graphics/icons/cargo/CradSup4.png,ui_chip_pickup,ui_bp_package_drop,data.campaign.Agreement_Story,,Mass-produced single-use cards sold in Crimson Vaults. Enables emergency teleportation of vital space exploration supplies via Stellar Dust Teleportation... Though how they achieve this remains unclear.,1.4,

Abyssal Blue Engraved Slab,Data_RRA_1,,Elis Archives,5,100000,1000,1,graphics/icons/cargo/Slabstone_RRA.png,ui_chip_pickup,ui_bp_package_drop,data.campaign.archives.WitchData.Data_RRA_1,,"While you don't understand why anyone would use these abstract stone slabs for data storage in this digital age, the retro lighting embedded in the walls does look undeniably cool.",1.1,
Abyssal Blue Engraved Slab,Data_RRA_2,,Elis Archives,5,100000,1000,1,graphics/icons/cargo/Slabstone_RRA.png,ui_chip_pickup,ui_bp_package_drop,data.campaign.archives.WitchData.Data_RRA_2,,"While you don't understand why anyone would use these abstract stone slabs for data storage in this digital age, the retro lighting embedded in the walls does look undeniably cool.",1.2,
Abyssal Blue Engraved Slab,Data_RRA_3,,Elis Archives,5,100000,1000,1,graphics/icons/cargo/Slabstone_RRA.png,ui_chip_pickup,ui_bp_package_drop,data.campaign.archives.WitchData.Data_RRA_3,,"While you don't understand why anyone would use these abstract stone slabs for data storage in this digital age, the retro lighting embedded in the walls does look undeniably cool.",1.3,
Holographic Record,Archives_RRA_0,,Elis Archives,5,100000,1000,1,graphics/icons/cargo/Archives_RRA.png,ui_chip_pickup,ui_bp_package_drop,data.campaign.archives.WitchData.Archives_RRA_0,,Touching the slab projects additional information... So they actually have this functionality?,1.4,
Holographic Record,Archives_RRA_1,,Elis Archives,5,100000,1000,1,graphics/icons/cargo/Archives_RRA.png,ui_chip_pickup,ui_bp_package_drop,data.campaign.archives.WitchData.Archives_RRA_1,,Touching the slab projects additional information... So they actually have this functionality?,1.5,
Holographic Record,Archives_RRA_2,,Elis Archives,5,100000,1000,1,graphics/icons/cargo/Archives_RRA.png,ui_chip_pickup,ui_bp_package_drop,data.campaign.archives.WitchData.Archives_RRA_2,,Touching the slab projects additional information... So they actually have this functionality?,1.6,
Holographic Record,Archives_RRA_3,,Elis Archives,5,100000,1000,1,graphics/icons/cargo/Archives_RRA.png,ui_chip_pickup,ui_bp_package_drop,data.campaign.archives.WitchData.Archives_RRA_22,,Touching the slab projects additional information... So they actually have this functionality?,1.7,
Holographic Record,Archives_RRA_4,,Elis Archives,5,100000,1000,1,graphics/icons/cargo/Archives_RRA.png,ui_chip_pickup,ui_bp_package_drop,data.campaign.archives.WitchData.Archives_RRA_3,,Touching the slab projects additional information... So they actually have this functionality?,1.8,
Holographic Record,Archives_RRACM,,Elis Archives,5,100000,1000,1,graphics/icons/cargo/Archives_CM.png,ui_chip_pickup,ui_bp_package_drop,data.campaign.archives.WitchData.Archives_CMRRA,,"Touching these slabs... Ugh, who else could this damn color belong to?",1.9,
Holographic Record,Archives_RRAEI,,Elis Archives,5,100000,1000,1,graphics/icons/cargo/Archives_Ei.png,ui_chip_pickup,ui_bp_package_drop,data.campaign.archives.WitchData.Archives_ElisRRA,,Touching these slabs... This entry seems to be transmitted from elsewhere...,1.9,

Ashen Engraved Slab,Data_Cross_1,,Elis Archives,5,100000,1000,1,graphics/icons/cargo/Slabstone_Cross.png,ui_chip_pickup,ui_bp_package_drop,data.campaign.archives.WitchData.Data_Cross_1,,"While you don't understand why anyone would use these abstract stone slabs for data storage in this digital age, the retro lighting embedded in the walls does look undeniably cool.",2.1,
