id,type,text1,text2,text3,text4,notes
WthC_BreezeTacticalLaserLPC,WEAPON,"A Breeze Tactical Laser that no longer deals EMP damage but has slightly improved damage and range. Often only installed on Afflictor-class support craft.",,,,
WthC_StormClouds,WEAPON,"A tactical weapon that maximizes versatility, though its base damage is quite limited.

For a master of mysticism, creating a highly destructive weapon is not difficult. The real challenge lies in making a beam as functional as possible. While its battlefield performance is only passable, it remains the Primordial Witch's excellent answer to this problem.",,,,
WthC_StormCloudsLPC,WEAPON,"A single-beam Stormclouds Tactical Laser, with some of its output diverted to increase range. Often only installed on Afflictor-class support craft.",,,,
WthC_UnderCurrent,WEAPON,"A product of expanding the Pulse Laser's capacitor and controlling it to fire continuously, allowing it to project a large amount of charge at the target. The saturated projectile output can sometimes give enemies a ""little surprise.""

Originally intended to create a Pulse Laser capable of continuous fire, some technical challenges during development gave it a peculiar instability.

While the Primordial Witch could easily solve this issue for higher efficiency, perhaps others in the workshop appreciated this subtle side effect, leading to the Undercurrent Pulse Laser's unique debut.",,,,

#Weapons
WthC_Lumen,WEAPON,"Fires a large number of micro-Lumen energy projectiles with slight metallic corrosiveness. While these radioactive projectiles are not lethal on their own, thousands of glowing particles can still cause significant trouble for enemy ships.

Though it sounds like a magical element straight out of a fantasy story, the so-called Lumen is actually just a thermal polymer with faint traces of fission radiation. Most of the time, this stable energy field is better suited for lighting or heating, making its battlefield application a bold choice.

Like the precedent set by civilian and mining weapons shining on the Persean Sector battlefield, the Lumen Projector has become the most exceptional small anti-ship weapon in the sector under specific conditions.",,,,
WthC_Darkest,WEAPON,"A beam weapon born alongside the New Moon. Compared to its sister weapon, this terrifying device fires a matter-disintegration beam that can easily tear through any fragile target in its path, plunging all enemies without armor or shields into their darkest hour, as its name suggests.

Clearly, this all-or-nothing approach to destruction aligns perfectly with the style of a certain figure within the fortress. Whether as a tribute to this philosophy or a tactical necessity, the Darkest was born.",,,,
WthC_OceanCurrent,WEAPON,"Fires a continuous destructive beam capable of slowly tearing through any target, but its overly firepower-focused design significantly narrows its applicability.

Among all weapons born from the Primordial Workshop, this is the only beam weapon that prioritizes pure destructive power... yet it still retains some functionality, showcasing the Primordial Witch's obsession in this regard.

As a medium weapon, this so-called Stellar Energy Beam's output rivals the high-intensity lasers familiar to the Persean Sector. A few installations can easily destroy most ships in the sector. However, this weapon's strength is also its weakness—for ships capable of mounting multiple units, prolonged firing may bring about their own doom.",,,,
WthC_GKL_B,WEAPON,"""She was once bound by an endless cycle of hunting missions that never existed...""","-""Crimson Lord"" Shilya Crimson",,,
WthC_GKL_R,WEAPON,"""Even after the darkness of the past was forgotten, the spear remains as sharp as ever...""","-""Pale King"" Lovinya Blast",,,
WthC_CHB,WEAPON,"""This blade commemorates the hunter once lost in time...""","-""Primordial Witch"" Rika Primordial",,,
WthC_TTR,WEAPON,"""A single beam can pierce the soul of the weak...""","-""Cross Witch"" Rosalia Cross",,,
WthC_NodeVoid,WEAPON,"""She is both the first chosen and will be the last...""","-""Gazing Demon"" Iris Requickbard",,,
WthC_tpcdreamer,WEAPON,"A heavily modernized and more massive version of the Thermal Pulse Cannon, born alongside its flagship carrier. As the most critical component of its unparalleled forward firepower, it can eliminate all physical obstacles in its path in a short time.",,,,
WthC_TPCRune,WEAPON,"A heavily modernized and more massive version of the Thermal Pulse Cannon, born alongside its flagship carrier. Equipped with a retro-style elemental rotary lens, its range is reduced, but the additional elemental reactions make this already destructive cannon even more unparalleled.",,,,
WthC_NewMoon,WEAPON,"A beam weapon born alongside the Darkest. Compared to its sister weapon, the New Moon is entirely focused on tactical support. This difficult-to-counter weapon can effectively disrupt enemy shields and almost instantly disable unshielded ship systems.

Clearly, this complete abandonment of direct damage in favor of slowly cornering the opponent aligns perfectly with the style of a certain figure within the fortress. Whether as a tribute to this philosophy or a tactical necessity, the New Moon was born.",,,,
WthC_tpcPAC,WEAPON,"""The end of the road is not the end...""","-""Crimson Lord"" Shilya Crimson",,,
WthC_tpcPAC2,WEAPON,"""Only the end of a legend...""","-""Pale King"" Lovinya Blast",,,

WthC_starsnode_element_soil,WEAPON,"A medium Stellar Energy Aggregator equipped with an additional elemental lens, capable of firing homing Essence Spheres. By swapping the internal elemental lens and adjusting the energy convergence program, the weapon's tactical applications can be flexibly altered, resembling a rather ancient design.",,,,
WthC_starsnode_element_gold,WEAPON,"A medium Stellar Energy Aggregator equipped with an additional elemental lens, capable of firing homing Essence Spheres. By swapping the internal elemental lens and adjusting the energy convergence program, the weapon's tactical applications can be flexibly altered, resembling a rather ancient design.",,,,
WthC_starsnode_element_water,WEAPON,"A medium Stellar Energy Aggregator equipped with an additional elemental lens, capable of firing homing Essence Spheres. By swapping the internal elemental lens and adjusting the energy convergence program, the weapon's tactical applications can be flexibly altered, resembling a rather ancient design.",,,,
WthC_starsnode_element_wood,WEAPON,"A medium Stellar Energy Aggregator equipped with an additional elemental lens, capable of firing homing Essence Spheres. By swapping the internal elemental lens and adjusting the energy convergence program, the weapon's tactical applications can be flexibly altered, resembling a rather ancient design.",,,,
WthC_starsnode_element_fire,WEAPON,"A medium Stellar Energy Aggregator equipped with an additional elemental lens, capable of firing homing Essence Spheres. By swapping the internal elemental lens and adjusting the energy convergence program, the weapon's tactical applications can be flexibly altered, resembling a rather ancient design.",,,,

WthC_starsnode_elementS_soil,WEAPON,"A light Stellar Energy Aggregator equipped with an additional elemental lens, capable of firing homing Essence Spheres. By swapping the internal elemental lens and adjusting the energy convergence program, the weapon's tactical applications can be flexibly altered, resembling a rather ancient design.",,,,
WthC_starsnode_elementS_gold,WEAPON,"A light Stellar Energy Aggregator equipped with an additional elemental lens, capable of firing homing Essence Spheres. By swapping the internal elemental lens and adjusting the energy convergence program, the weapon's tactical applications can be flexibly altered, resembling a rather ancient design.",,,,
WthC_starsnode_elementS_water,WEAPON,"A light Stellar Energy Aggregator equipped with an additional elemental lens, capable of firing homing Essence Spheres. By swapping the internal elemental lens and adjusting the energy convergence program, the weapon's tactical applications can be flexibly altered, resembling a rather ancient design.",,,,
WthC_starsnode_elementS_wood,WEAPON,"A light Stellar Energy Aggregator equipped with an additional elemental lens, capable of firing homing Essence Spheres. By swapping the internal elemental lens and adjusting the energy convergence program, the weapon's tactical applications can be flexibly altered, resembling a rather ancient design.",,,,
WthC_starsnode_elementS_fire,WEAPON,"A light Stellar Energy Aggregator equipped with an additional elemental lens, capable of firing homing Essence Spheres. By swapping the internal elemental lens and adjusting the energy convergence program, the weapon's tactical applications can be flexibly altered, resembling a rather ancient design.",,,,


#Ship Systems
GatherStarEnergyDrive,SHIP_SYSTEM,"Temporarily switches the reactor to Stellar Energy Drive mode, significantly enhancing engine and beam weapon output. However, most ship reactors cannot stabilize in this mode for long, reducing flux dissipation and preventing hard flux venting during operation.","Maneuver",,,,
GatherStarEnergyBurnDrive,SHIP_SYSTEM,"Temporarily switches the reactor to Stellar Energy Drive mode, drastically enhancing engine and shield output without interfering with weapon operation. However, the unstable energy pressure on the reactor makes it difficult to sustain for long, continuously generating and preventing hard flux venting during operation.","Maneuver",,,,
GatherStarEnergyStormDrive,SHIP_SYSTEM,"Temporarily switches the reactor to Stellar Energy Drive mode, drastically enhancing engine output and generating a weak field around the hull. While this switch does not interfere with weapon operation, the unstable energy pressure on the reactor makes it difficult to sustain for long, continuously generating and preventing hard flux venting during operation.","Maneuver",,,,
GatherStarCoreOverLoad,SHIP_SYSTEM,"Temporarily overloads the ship's Stellar Energy Reactor, with additional energy demands handled by the main reactor, making it difficult to stabilize for long. Fully activated Stellar Energy significantly enhances the ship's engine and weapon systems, and can be quickly and repeatedly activated as long as the main reactor is not overloaded.","Special",,,,
GatherStarMEinterference,SHIP_SYSTEM,"Uses Stellar Energy to continuously interfere with the mass-energy state of ship weapons, enhancing their projectile output and lethality. Additional energy is drawn from the engine. While this protocol can be sustained for a long time, improper use often puts the ship in danger.","Special",,,,
GatherStarConcentrateMode,SHIP_SYSTEM,"Switches the reactor to Stellar Energy Concentration mode, diverting part of the engine output to the weapon systems to significantly enhance firepower. However, the unstable energy pressure on the reactor makes it difficult to sustain for long.","Offense",,,,
StarDustTeleporter,SHIP_SYSTEM,"Activates the spatial penetration capabilities of small Stardust Phase Nodes within the ship, enabling flexible, long-range teleportation multiple times.","Maneuver",,,,
StarDustDamper,SHIP_SYSTEM,"Temporarily activates a Stellar Energy field to significantly reduce incoming damage. This relatively stable energy field lasts longer and absorbs more damage than standard dampeners but has a longer cooldown and cannot be used repeatedly in a short time.","Defense",,,,
StigmataExcite,SHIP_SYSTEM,"Activates the hidden power within the Sigil Core, enabling rapid maneuvering and significantly increasing the projectile output of all weapons for a short time.","Special",,,,
CrossTheBorder,SHIP_SYSTEM,"Activates the hidden power within the Sigil Core, temporarily opening a link to the Rift to gain a significant relative time dilation effect.","Special",,,,
AbandonJourney,SHIP_SYSTEM,"Activates the hidden power within the Sigil Core, increasing mobility and generating numerous Essence Spheres to slow enemies for a short time.","Special",,,,
UntilElapse,SHIP_SYSTEM,"Activates the hidden power within the Sigil Core, drastically enhancing ship propulsion at the cost of rapidly depleting hull integrity and boosting weapon performance based on lost hull.","Special",,,,
GrandCruise,SHIP_SYSTEM,"Activates the hidden power within the Sigil Core, temporarily enhancing shield performance and propulsion while generating numerous homing projectiles for disruption.","Special",,,,
PACGrandCruise,SHIP_SYSTEM,"Activates the hidden power within the Sigil Core, temporarily enhancing shield performance and propulsion while continuously generating two types of homing projectiles.","Special",,,,
MatrixWorkshop,SHIP_SYSTEM,"Activates the hidden power within the Sigil Core, disabling shields for an extended period in exchange for enhanced hull and beam weapon performance.","Special",,,,
MatrixWorkshopBa,SHIP_SYSTEM,"Activates the hidden power within the Sigil Core, disabling shields for an extended period in exchange for enhanced hull and beam weapon performance.","Special",,,,

StigmataExcite_TTR,SHIP_SYSTEM,"Activates the small Stardust Core within the ship, significantly increasing mobility and weapon performance while shifting damage focus to fighters and missiles for a short time.","Special",,,,

HongSeJueMie,SHIP_SYSTEM,"Channels the majority of the ship's energy reserves into the reactor to replicate the most iconic technique of the Primordial Witch. Drastically enhances engine and beam weapon output for an extended period but immediately reduces peak performance time to zero.","Offense",,,,

WthC_Eagle_IE,SHIP,"A special Eagle-class cruiser marked with a golden crescent moon and blue rose petals on its hull, clearly having undergone extensive modifications at the Crimson Fortress. These RIE-marked ships typically replace all missile hardpoints with various elemental nodes and favor beam weapons in combat.

Compared to the more common version, this Eagle has numerous energy weapon hardpoints, making it even more suited for its already proficient medium-to-long-range engagements. The addition of the Stellar Energy Activator further enhances the tactical value of this already practical cruiser.

However, the increased deployment cost makes this ship, which struggles to quickly break through enemy lines, somewhat awkward in its role... As before its modifications, most captains still prefer its smaller sibling—the Falcon (RIE)-class light cruiser.",,,,
WthC_Falcon_IE,SHIP,"A special Falcon-class light cruiser marked with a golden crescent moon and blue rose petals on its hull, clearly having undergone extensive modifications at the Crimson Fortress. These RIE-marked ships typically replace all missile hardpoints with various elemental nodes and favor beam weapons in combat.

For most Persean Sector captains, the Falcon has always been the most affordable and reliable cruiser on the battlefield. When deployed in large numbers, they easily form a mobile defensive line that is difficult to breach. This elite Falcon (RIE) further specializes in these aspects, with an improved flux network and beam weapons capable of dealing more effective damage, making it even more adaptable than its original counterpart.

However, the incomplete nature of its modifications means this ship, like its original version, is still only suitable for long-range engagements. Any expectation of it quickly and effectively eliminating enemy ships is unrealistic.",,,,
WthC_Falcon_IE_B,SHIP,"This peculiar Falcon (RIE) appears to have undergone some mysterious ritual, allowing it to unleash extraordinary potential under certain conditions.

While the battlefield performance of these B-marked RIE ships is substantially improved, most crew members refuse to serve on these vessels, which seem as if they've returned from hell. Increasing evidence suggests that fighting on ""Pale"" ships always comes with bizarre dangers. According to crew reports, these dangers include but are not limited to: ""flux networks mysteriously overloading while passing through secure pipeline sections,"" ""life support systems intermittently failing after entering combat,"" ""minor external damage precisely causing crew fatalities,"" and ""crew members mysteriously disappearing after hearing eerie laughter.""

Whether these reports are credible or not, the significantly higher mortality rate serves as a warning that any powerful force from an unknown source comes at a cost.

As you are forced to replace veteran crew with less determined recruits, these ships often lose combat effectiveness faster than their counterparts in high-pressure battles. Fortunately, their internal structure is similar to standard RIE ships, minimizing the need for changes in tactical doctrine and maintenance.",,,,
WthC_Eagle_IE_B,SHIP,"This peculiar Eagle (RIE) appears to have undergone some mysterious ritual, allowing it to unleash extraordinary potential under certain conditions.

While the battlefield performance of these B-marked RIE ships is substantially improved, most crew members refuse to serve on these vessels, which seem as if they've returned from hell. Increasing evidence suggests that fighting on ""Pale"" ships always comes with bizarre dangers. According to crew reports, these dangers include but are not limited to: ""flux networks mysteriously overloading while passing through secure pipeline sections,"" ""life support systems intermittently failing after entering combat,"" ""minor external damage precisely causing crew fatalities,"" and ""crew members mysteriously disappearing after hearing eerie laughter.""

Whether these reports are credible or not, the significantly higher mortality rate serves as a warning that any powerful force from an unknown source comes at a cost.

As you are forced to replace veteran crew with less determined recruits, these ships often lose combat effectiveness faster than their counterparts in high-pressure battles. Fortunately, their internal structure is similar to standard RIE ships, minimizing the need for changes in tactical doctrine and maintenance.",,,,
WthC_Onslaught_IE,SHIP,"A special Onslaught-class battleship marked with a golden crescent moon and blue rose petals on its hull, clearly having undergone extensive modifications at the Crimson Fortress. These RIE-marked ships typically replace all missile hardpoints with various elemental nodes and favor beam weapons in combat.

Compared to the more common version, this Onslaught has drastically altered most of its original weapon groups and integrated four tactical beam weapons. Even though everything still revolves around its two Thermal Pulse Cannons, its role on the battlefield has fundamentally changed.

Past experience reminds every Persean Sector captain that those accustomed to commanding Onslaught-class battleships to charge recklessly into battle must reconsider their approach. Using outdated tactics with this flashy behemoth could lead to irreversible consequences.",,,,
WthC_Onslaught_IE_B,SHIP,"This peculiar Onslaught (RIE) appears to have undergone some mysterious ritual, allowing it to unleash extraordinary potential under certain conditions. The S-mark indicates that this battleship was once given to a certain witch and often served as her flagship.

While the battlefield performance of these B-marked RIE ships is substantially improved, most crew members refuse to serve on these vessels, which seem as if they've returned from hell. Increasing evidence suggests that fighting on ""Pale"" ships always comes with bizarre dangers. According to crew reports, these dangers include but are not limited to: ""flux networks mysteriously overloading while passing through secure pipeline sections,"" ""life support systems intermittently failing after entering combat,"" ""minor external damage precisely causing crew fatalities,"" and ""crew members mysteriously disappearing after hearing eerie laughter.""

Whether these reports are credible or not, the significantly higher mortality rate serves as a warning that any powerful force from an unknown source comes at a cost.

As you are forced to replace veteran crew with less determined recruits, these ships often lose combat effectiveness faster than their counterparts in high-pressure battles. Fortunately, their internal structure is similar to standard RIE ships, minimizing the need for changes in tactical doctrine and maintenance.

As the Dust Witch's most favored toy in this constellation, this Pale Onslaught is a unique presence in the entire sector. Hand it over to that desperate, suicidal princess—at least this monstrous capital ship can eliminate many unpleasant physical phenomena before her reckless operations completely destroy everything onboard.",,,,
WthC_Onslaught_IE_B_N,SHIP,"This peculiar Onslaught (RIE) appears to have undergone some mysterious ritual, allowing it to unleash extraordinary potential under certain conditions. The S-mark indicates that this battleship was once given to a certain witch and often served as her flagship.

While the battlefield performance of these B-marked RIE ships is substantially improved, most crew members refuse to serve on these vessels, which seem as if they've returned from hell. Increasing evidence suggests that fighting on ""Pale"" ships always comes with bizarre dangers. According to crew reports, these dangers include but are not limited to: ""flux networks mysteriously overloading while passing through secure pipeline sections,"" ""life support systems intermittently failing after entering combat,"" ""minor external damage precisely causing crew fatalities,"" and ""crew members mysteriously disappearing after hearing eerie laughter.""

Whether these reports are credible or not, the significantly higher mortality rate serves as a warning that any powerful force from an unknown source comes at a cost.

As you are forced to replace veteran crew with less determined recruits, these ships often lose combat effectiveness faster than their counterparts in high-pressure battles. Fortunately, their internal structure is similar to standard RIE ships, minimizing the need for changes in tactical doctrine and maintenance.

As the Dust Witch's most favored toy in this constellation, this Pale Onslaught is a unique presence in the entire sector. Hand it over to that desperate, suicidal princess—at least this monstrous capital ship can eliminate many unpleasant physical phenomena before her reckless operations completely destroy everything onboard.",,,,
WthC_legion_IE,SHIP,"A special Legion-class carrier battleship marked with a golden crescent moon and blue rose petals on its hull, clearly having undergone extensive modifications at the Crimson Fortress. These RIE-marked ships typically replace all missile hardpoints with various elemental nodes and favor beam weapons in combat.

Compared to the more common version, this Legion has drastically altered its original weapon groups and integrated numerous elemental nodes.

Most Persean Sector captains associate the Legion-class with its powerful support capabilities, thanks to its large missile complement and fighter wings. After losing these advantages, this Legion (RIE) is better suited as a battleship with additional flight decks. At least its improved flux network and ample hull expansion space make it as sturdy and reliable as ever, if not more so on the front lines.",,,,

WthC_legion_IE_B,SHIP,"This peculiar Legion (RIE) appears to have undergone some mysterious ritual, allowing it to unleash extraordinary potential under certain conditions.

While the battlefield performance of these B-marked RIE ships is substantially improved, most crew members refuse to serve on these vessels, which seem as if they've returned from hell. Increasing evidence suggests that fighting on ""Pale"" ships always comes with bizarre dangers. According to crew reports, these dangers include but are not limited to: ""flux networks mysteriously overloading while passing through secure pipeline sections,"" ""life support systems intermittently failing after entering combat,"" ""minor external damage precisely causing crew fatalities,"" and ""crew members mysteriously disappearing after hearing eerie laughter.""

Whether these reports are credible or not, the significantly higher mortality rate serves as a warning that any powerful force from an unknown source comes at a cost.

As you are forced to replace veteran crew with less determined recruits, these ships often lose combat effectiveness faster than their counterparts in high-pressure battles. Fortunately, their internal structure is similar to standard RIE ships, minimizing the need for changes in tactical doctrine and maintenance.

As a ship that aligns well with the tastes of the Cross Witch, this Pale Carrier-Battleship doesn't perform as spectacularly on the battlefield as one might expect. However, no one would want to encounter such a bizarre presence in combat... Anyone who likes this thing must have some serious mental issues.",,,,
WthC_irises_IE,SHIP,"A special Iris-class battlecruiser marked with a golden crescent moon and blue rose petals on its hull, clearly having undergone extensive modifications at the Crimson Fortress. These RIE-marked ships typically replace all missile hardpoints with various elemental nodes and favor beam weapons in combat.

The Iris-class battlecruiser is already a rare hull in the sector, and this modified version further shrouds it in mystery. A more sustained Stellar Energy Drive and an improved flux network enhance its output potential. However, the almost completely revamped weapon groups and the design philosophy leaning further toward ""de-armoring"" undoubtedly place this already fragile ship in even greater danger.

But if you truly want a mobile flagship with a well-equipped command center capable of fighting valiantly on the front lines, this oddly positioned ship might just deliver a decent experience.",,,,
